business_date,START_DATE,END_DATE,b_value,repoLen,expo,model_rate
5/6/2025,2025-05-06,2025-05-07,0.1,0.002777777777777778,"[0.00277778 0.         0.         0.         0.         0.00277778
 0.         0.00277778 0.         0.         0.         0.00277778
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.40022230454963115
5/6/2025,2025-05-07,2025-05-08,0.1,0.002777777777777778,"[0.         0.00277778 0.00277778 0.         0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.5031293448026428
5/6/2025,2025-05-07,2025-05-09,0.1,0.005555555555555556,"[0.         0.00277778 0.00555556 0.00277778 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.5062673973404639
5/6/2025,2025-05-08,2025-05-09,0.1,0.002777777777777778,"[0.         0.         0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.5031293448026428
5/6/2025,2025-05-07,2025-05-13,0.1,0.016666666666666666,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.01666667
 0.01666667 0.01666667 0.01666667 0.01666667 0.01666667 0.01666667
 0.01666667 0.01666667 0.01666667 0.01666667 0.01666667 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.382350334810556
5/6/2025,2025-05-06,2025-05-16,0.1,0.027777777777777776,"[0.00277778 0.00277778 0.00555556 0.00277778 0.01666667 0.02777778
 0.025      0.02777778 0.025      0.025      0.025      0.02777778
 0.025      0.025      0.025      0.025      0.025      0.00277778
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.251253867173653
5/6/2025,2025-05-07,2025-05-20,0.1,0.03611111111111111,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.025
 0.03611111 0.03611111 0.03611111 0.03611111 0.03611111 0.03611111
 0.03611111 0.03611111 0.03611111 0.03611111 0.03611111 0.01388889
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.3148774514937651
5/6/2025,2025-05-06,2025-05-21,0.1,0.041666666666666664,"[0.00277778 0.00277778 0.00555556 0.00277778 0.01666667 0.02777778
 0.03611111 0.04166667 0.03888889 0.03888889 0.03888889 0.04166667
 0.03888889 0.03888889 0.03888889 0.03888889 0.03888889 0.01666667
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.2445271552940476
5/6/2025,2025-05-07,2025-05-21,0.1,0.03888888888888889,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.025
 0.03611111 0.03888889 0.03888889 0.03888889 0.03888889 0.03888889
 0.03888889 0.03888889 0.03888889 0.03888889 0.03888889 0.01666667
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.3033856335163714
5/6/2025,2025-05-07,2025-05-27,0.1,0.05555555555555555,"[0.         0.00277778 0.00555556 0.00277778 0.01666667 0.025
 0.03611111 0.03888889 0.03888889 0.05555556 0.05555556 0.05555556
 0.05555556 0.05555556 0.05555556 0.05555556 0.05555556 0.03333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.1981938124533729
